"Name","State","Notes","User","Tags","Created","Runtime","Sweep","checkpoint_step","layer","method","shuffle_labels","test_percentage","train_dataset_group","dataset/num_samples","labels/max","labels/mean","labels/min","labels/std","magnitude/combined_mean","magnitude/test_mean","magnitude/train_mean","model/input_dim","model/output_dim","normalize_features","test/mae","test/mse","test/pearson","test/r2","test/rmse","train/final_mae","train/final_mse","train/method"
"closedform_virulence_probe_dataset_nemo2_evo2_7b_1m__layer_21_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:29:58.000Z","4","","0","21","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","7.720114231109619","7.72052001953125","7.716475963592529","4096","1","false","1.596558690071106","4.645119667053223","0.3960899717419967","-0.13007341900643277","2.1552539681098426","0.000025933255528798327","8.091801118048635e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_20_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:29:52.000Z","4","","2000","20","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","6.0504655838012695","6.050224304199219","6.052631378173828","4096","1","false","1.6577317714691162","4.590858459472656","0.3836960002458053","-0.11687270347569824","2.1426288664798334","0.000005803800831927219","4.567681302636295e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_19_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:29:46.000Z","4","","500","19","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","5.797214984893799","5.797558307647705","5.794131755828857","4096","1","false","1.4741932153701782","3.731398582458496","0.4591535160108802","0.09221823651621908","1.9316828369218628","0.000005545245585381053","6.356979526112028e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_31_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:29:34.000Z","4","","2000","31","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","1017048727552","1012674789376","1056297123840","4096","1","false","1.754841685295105","4.585489273071289","0.11055533211300148","-0.11556637148668349","2.1413755562888284","1.3046634197235107","2.3199045658111572","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_3_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:29:24.000Z","3","","100","3","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","0.31727516651153564","0.31730857491493225","0.3169756531715393","4096","1","false","1.7440444231033323","5.622759819030762","0.3586257367259869","-0.36791555964482514","2.371235926480274","0.452010840177536","0.4636228382587433","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_9_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:28:43.000Z","4","","500","9","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","2.324303150177002","2.324265480041504","2.324643611907959","4096","1","false","1.5486729145050049","3.855872869491577","0.4213799817444646","0.0619360942104733","1.9636376624753296","0.000015329267625929788","3.7390124330016756e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_17_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:28:25.000Z","4","","200","17","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","4.931250095367432","4.93107271194458","4.9328389167785645","4096","1","false","1.5169494152069092","3.7620484828948975","0.4420776961040831","0.08476166060521706","1.9396000832374949","0.000006371656127157621","6.455058015886195e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_8_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:28:14.000Z","4","","2000","8","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","1.7348402738571167","1.7349761724472046","1.7336217164993286","4096","1","false","1.6490103006362915","4.581172943115234","0.3467521386208707","-0.11451649347003956","2.1403674785221427","0.000019073084331466816","4.895797101056587e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_6_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:28:08.000Z","4","","100","6","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","0.7851921319961548","0.7852171063423157","0.7849684357643127","4096","1","false","1.4651886224746704","3.823301076889038","0.4219967597049989","0.06986022677078918","1.9553263351392365","0.000030627525120507926","1.1687354417588836e-9","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_31_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:27:49.000Z","5","","200","31","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","924597551104","918211592192","981898821632","4096","1","false","1.8013274669647217","4.743917942047119","0.13250696606674536","-0.15410924778212487","2.178053705041985","1.2667182683944702","2.3272082805633545","closed_form"
